"FunctionName","Status","Runtime","AuthMode"
"agent-voice-tts","OK","Deno","JWT"
"ai-agent-chat","OK","Deno","JWT"
"ai-answer","OK","Deno","JWT"
"ai-assistant","OK","Deno","JWT"
"ai-browser-search","OK","Deno","JWT"
"ai-chat","OK","Deno","JWT"
"ai-chat-assistant","OK","Deno","JWT"
"ai-chat-summary","OK","Deno","JWT"
"ai-clone-respond","OK","Deno","JWT"
"ai-coaching","OK","Deno","JWT"
"ai-health-assistant","OK","Deno","JWT"
"ai-image-generator","OK","Deno","JWT"
"ai-message-insights","OK","Deno","JWT"
"ai-smart-reply","OK","Deno","JWT"
"ai-voice-summarize","OK","Deno","JWT"
"analyze-chat-brands","OK","Deno","JWT"
"analyze-fame-content","OK","Deno","JWT"
"app-version","OK","Deno","JWT"
"auth-phone-otp","OK","Deno","JWT"
"auto-translate","OK","Deno","JWT"
"backfill-memory","OK","Deno","JWT"
"backfill-phone-hashes","OK","Deno","JWT"
"bot-webhook","OK","Deno","JWT"
"business-campaign-runner","OK","Deno","JWT"
"business-ivr-webhook","OK","Deno","JWT"
"business-workflow-engine","OK","Deno","JWT"
"call-sentiment","OK","Deno","JWT"
"call-summary","OK","Deno","JWT"
"cc-ai-ceo","OK","Deno","JWT"
"cc-engineering-agent","OK","Deno","JWT"
"cc-sales-agent","OK","Deno","JWT"
"chatr-brain","OK","Deno","JWT"
"chatr-games-ai","OK","Deno","JWT"
"chatr-mcp-server","OK","Deno","JWT"
"chatr-plus-ai-search","OK","Deno","JWT"
"chatr-shield-pipeline","OK","Deno","JWT"
"chatr-world","OK","Deno","JWT"
"chatr-world-ai","OK","Deno","JWT"
"chatr-world-search","OK","Deno","JWT"
"cleanup-expired-messages","OK","Deno","JWT"
"click-log","OK","Deno","JWT"
"crawl-jobs","OK","Deno","JWT"
"desktop-pair-confirm","OK","Deno","JWT"
"desktop-pair-init","OK","Deno","JWT"
"desktop-session-revoke","OK","Deno","JWT"
"detect-video-objects","OK","Deno","JWT"
"device-auth","OK","Deno","JWT"
"fcm-call-trigger","OK","Deno","JWT"
"fcm-notify","OK","Deno","JWT"
"fetch-healthcare","OK","Deno","JWT"
"fetch-jobs","OK","Deno","JWT"
"firebase-phone-auth","OK","Deno","JWT"
"generate-feature","OK","Deno","JWT"
"generate-media-url","OK","Deno","JWT"
"generate-memory-embedding","OK","Deno","JWT"
"generate-questions","OK","Deno","JWT"
"generate-referral-code","OK","Deno","JWT"
"generate-signed-url","OK","Deno","JWT"
"generate-sticker","OK","Deno","JWT"
"geo-search","OK","Deno","JWT"
"get-turn-credentials","OK","Deno","JWT"
"health-bmi-calculator","OK","Deno","JWT"
"health-passport-export","OK","Deno","JWT"
"health-predictions","OK","Deno","JWT"
"health-wallet-transaction","OK","Deno","JWT"
"healthcare-booking","OK","Deno","JWT"
"identity-exchange","OK","Deno","JWT"
"job-matching","OK","Deno","JWT"
"live-transcription","OK","Deno","JWT"
"live-translate","OK","Deno","JWT"
"lookup-chatr-users","OK","Deno","JWT"
"medication-interactions","OK","Deno","JWT"
"mental-health-assistant","OK","Deno","JWT"
"native-call-update","OK","Deno","JWT"
"notify-referral-join","OK","Deno","JWT"
"nutrition-tracker","OK","Deno","JWT"
"orchestration-event-router","OK","Deno","JWT"
"parse-prescription","OK","Deno","JWT"
"perplexity-search","OK","Deno","JWT"
"platform-init","OK","Deno","JWT"
"process-coin-reward","OK","Deno","JWT"
"process-daily-login","OK","Deno","JWT"
"process-daily-login-streak","OK","Deno","JWT"
"process-referral","OK","Deno","JWT"
"process-scheduled-notifications","OK","Deno","JWT"
"pstn-call","OK","Deno","JWT"
"qr-login","OK","Deno","JWT"
"qr-payment","OK","Deno","JWT"
"realtime-token","OK","Deno","JWT"
"register-device-token","OK","Deno","JWT"
"saved-search-alerts","OK","Deno","JWT"
"schedule-notification","OK","Deno","JWT"
"schema-dumper","OK","Deno","JWT"
"scrape-jobs","OK","Deno","JWT"
"screen-incoming-call","OK","Deno","JWT"
"search-alerts-notifier","OK","Deno","JWT"
"search-memory","OK","Deno","JWT"
"search-suggestions","OK","Deno","JWT"
"send-broadcast-email","OK","Deno","JWT"
"send-call-notification","OK","Deno","JWT"
"send-chat-notification","OK","Deno","JWT"
"send-digest-notifications","OK","Deno","JWT"
"send-invite","OK","Deno","JWT"
"send-missed-call","OK","Deno","JWT"
"send-module-notification","OK","Deno","JWT"
"send-push","OK","Deno","JWT"
"send-push-notification","OK","Deno","JWT"
"send-sms","OK","Deno","JWT"
"send-whatsapp-invite","OK","Deno","JWT"
"smart-compose","OK","Deno","JWT"
"smart-notification-orchestrator","OK","Deno","JWT"
"smart-push-engine","OK","Deno","JWT"
"summarize-chat","OK","Deno","JWT"
"symptom-checker","OK","Deno","JWT"
"sync-contacts","OK","Deno","JWT"
"sync-health-data","OK","Deno","JWT"
"transcribe-voice","OK","Deno","JWT"
"translate-message","OK","Deno","JWT"
"universal-ai-search","OK","Deno","JWT"
"universal-search","OK","Deno","JWT"
"universal-search-engine","OK","Deno","JWT"
"update-location","OK","Deno","JWT"
"verify-micro-task","OK","Deno","JWT"
"visual-intelligence","OK","Deno","JWT"
"visual-search","OK","Deno","JWT"
"web-search-aggregator","OK","Deno","JWT"
"webrtc-signaling","OK","Deno","JWT"
"websocket-signaling","OK","Deno","JWT"
"world-content-moderation","OK","Deno","JWT"
